mindate,maxdate,name,datacoverage,id
1971-05-07,2014-01-01,"Rome, GA US",0.0116,CITY:US130021
1978-08-01,2007-08-01,"Savannah, GA US",0.0072,CITY:US130022
1984-01-01,1991-01-01,"Thomasville, GA US",0.0143,CITY:US130025
1971-05-08,2014-01-01,"Valdosta, GA US",0.0087,CITY:US130027
1973-05-01,2014-01-01,"Hilo, HI US",0.0443,CITY:US150001
1971-05-01,2014-01-01,"Honolulu, HI US",0.0247,CITY:US150002
1972-02-18,2014-01-01,"Kahului, HI US",0.0274,CITY:US150003
1971-05-04,2014-01-01,"Boise, ID US",0.0146,CITY:US160001
1971-05-12,2014-01-01,"Coeur d'Alene, ID US",0.0072,CITY:US160002
1972-07-09,2014-01-01,"Moscow, ID US",0.0079,CITY:US160005
1971-05-06,2014-01-01,"Mountain Home, ID US",0.0043,CITY:US160006
1984-01-01,2001-02-23,"Twin Falls, ID US",0.0122,CITY:US160009
1971-10-21,1988-10-01,"Bloomington, IL US",0.0083,CITY:US170002
1971-05-01,2014-01-01,"Carbondale, IL US",0.0101,CITY:US170003
1977-03-01,2014-01-01,"Champaign, IL US",0.0106,CITY:US170004
1984-01-01,1995-02-23,"Charleston, IL US",0.0103,CITY:US170005
1977-11-01,2014-01-01,"Chicago, IL US",0.0275,CITY:US170006
1984-01-01,2014-01-01,"Crystal Lake, IL US",0.0081,CITY:US170007
1980-07-01,2014-01-01,"Danville, IL US",0.0096,CITY:US170008
1984-01-01,2014-01-01,"DeKalb, IL US",0.0088,CITY:US170009
1971-05-06,2014-01-01,"Decatur, IL US",0.0106,CITY:US170010
1984-01-01,2002-08-01,"Dixon, IL US",0.0103,CITY:US170011
1984-01-01,2014-01-01,"Effingham, IL US",0.0104,CITY:US170012
1973-09-03,2014-01-01,"Freeport, IL US",0.0081,CITY:US170014
1973-03-13,2014-01-01,"Galesburg, IL US",0.0089,CITY:US170015
1973-04-17,2014-01-01,"Kankakee, IL US",0.0078,CITY:US170017
1973-12-04,2014-01-01,"Kewanee, IL US",0.0097,CITY:US170018
2012-04-01,2014-01-01,"Lincoln, IL US",0.0077,CITY:US170019
1996-03-01,2011-05-18,"Macomb, IL US",0.008,CITY:US170020
1980-01-01,2014-01-01,"Mount Vernon, IL US",0.0095,CITY:US170021
1971-05-05,2001-08-10,"Peoria, IL US",0.0082,CITY:US170024
1980-07-05,2014-01-01,"Pontiac, IL US",0.0075,CITY:US170025
1971-05-01,2014-01-01,"Quincy, IL US",0.0095,CITY:US170026
1971-05-04,2014-01-01,"Rockford, IL US",0.0072,CITY:US170027
1971-05-05,1990-08-01,"Streator, IL US",0.0081,CITY:US170029
1984-01-01,2014-01-01,"Evansville, IN US",0.0106,CITY:US180002
1971-05-05,2014-01-01,"Indianapolis, IN US",0.25,CITY:US180004
1971-10-03,2014-01-01,"Kokomo, IN US",0.0104,CITY:US180005
1971-05-02,2014-01-01,"Lafayette, IN US",0.0107,CITY:US180006
1972-10-12,2002-07-20,"Madison, IN US",0.0079,CITY:US180007
1971-05-02,2014-01-01,"Michigan City, IN US",0.0101,CITY:US180008
1971-02-04,2014-01-01,"Muncie, IN US",0.0101,CITY:US180009
1971-05-02,2014-01-01,"Richmond, IN US",0.0092,CITY:US180010
1971-05-05,2014-01-01,"Shelbyville, IN US",0.0111,CITY:US180011
1978-04-02,2014-01-01,"South Bend, IN US",0.0112,CITY:US180012
